barcode,product_id,product_name,category,subcategory,unit_price,stock_level
8900000000012,1,Aashirvaad Whole Wheat Atta 5kg,Groceries,Staples,265.0,
8900000000029,2,Aashirvaad Multigrain Atta 5kg,Groceries,Staples,310.0,
8900000000036,3,Patanjali Chakki Fresh Atta 10kg,Groceries,Staples,380.0,
8900000000043,4,India Gate Basmati Rice 5kg,Groceries,Staples,580.0,
8900000000050,5,Lal Qilla Sona Masoori Rice 5kg,Groceries,Staples,420.0,
8900000000067,6,Tata Sampann Toor Dal 1kg,Groceries,Staples,155.0,
8900000000074,7,Tata Sampann Moong Dal 1kg,Groceries,Staples,145.0,
8900000000081,8,Patanjali Chana Dal 1kg,Groceries,Staples,110.0,
8900000000098,9,Fortune Urad Dal 1kg,Groceries,Staples,130.0,
8900000000104,10,Tata Sampann Masoor Dal 1kg,Groceries,Staples,125.0,
8900000000111,11,Fortune Refined Sunflower Oil 1L,Groceries,Staples,135.0,
8900000000128,12,Dhara Mustard Oil 1L,Groceries,Staples,145.0,
8900000000135,13,DiSano Extra Virgin Olive Oil 500ml,Groceries,Staples,480.0,
8900000000142,14,Uttam Sugar 1kg,Groceries,Staples,45.0,
8900000000159,15,Tata Rock Salt 1kg,Groceries,Staples,28.0,
8900000000166,16,Tata Iodised Salt 1kg,Groceries,Staples,22.0,
8900000000173,17,Patanjali Poha 500g,Groceries,Staples,38.0,
8900000000180,18,Aashirvaad Sooji Rava 500g,Groceries,Staples,42.0,
8900000000197,19,Rajdhani Besan 500g,Groceries,Staples,65.0,
8900000000203,20,Bambino Vermicelli 900g,Groceries,Staples,55.0,
8901262260107,21,Amul Full Cream Milk 1L,Groceries,Dairy,68.0,790.0
8900000000227,22,Mother Dairy Toned Milk 500ml,Groceries,Dairy,28.0,
8900000000234,23,Amul Dahi 400g,Groceries,Dairy,52.0,826.0
8900000000241,24,Epigamia Greek Yogurt 400g,Groceries,Dairy,115.0,
8900000000258,25,Amul Paneer 200g,Groceries,Dairy,95.0,749.0
8900000000265,26,Mother Dairy Paneer 500g,Groceries,Dairy,215.0,
8900000000272,27,Amul Salted Butter 100g,Groceries,Dairy,58.0,
8900000000289,28,Amul Pure Ghee 500ml,Groceries,Dairy,315.0,
8900000000296,29,Patanjali Cow Ghee 1L,Groceries,Dairy,565.0,
8900000000302,30,Amul Processed Cheese 200g,Groceries,Dairy,115.0,
8900000000319,31,Amul Mozzarella Cheese 200g,Groceries,Dairy,195.0,
8900000000326,32,Amul Taaza UHT Milk 1L,Groceries,Dairy,72.0,
8900000000333,33,Amul Lassi 200ml,Groceries,Dairy,25.0,
8900000000340,34,Mother Dairy Buttermilk 500ml,Groceries,Dairy,22.0,
8900000000357,35,Milkmaid Condensed Milk 400g,Groceries,Dairy,155.0,
8901063012110,36,Britannia Marie Gold 250g,Groceries,Snacks,30.0,
8901063142213,37,Britannia Good Day Cashew 150g,Groceries,Snacks,40.0,
8900000000388,38,Parle Hide & Seek 150g,Groceries,Snacks,38.0,
8900000000395,39,Parle Monaco Crackers 200g,Groceries,Snacks,32.0,
8900000000401,40,Parle-G Glucose Biscuits 500g,Groceries,Snacks,45.0,
8900000000418,41,Haldirams Aloo Bhujia 400g,Groceries,Snacks,115.0,
8900000000425,42,Haldirams Moong Dal Namkeen 200g,Groceries,Snacks,65.0,
8900000000432,43,Lays Classic Salted 52g,Groceries,Snacks,20.0,1054.0
8900000000449,44,Kurkure Masala Munch 90g,Groceries,Snacks,20.0,
8900000000456,45,Bingo Mad Angles 90g,Groceries,Snacks,20.0,
8900000000463,46,Maggi 2-Minute Noodles 280g,Groceries,Snacks,78.0,
8900000000470,47,Sunfeast Yippee Noodles 280g,Groceries,Snacks,70.0,
8900000000487,48,Act II Butter Popcorn 100g,Groceries,Snacks,55.0,
8900000000494,49,Too Yumm Roasted Peanuts 200g,Groceries,Snacks,60.0,
8900000000500,50,Haldirams Chivda Mix 400g,Groceries,Snacks,120.0,
8900000000517,51,McVities Digestive Biscuits 250g,Groceries,Snacks,85.0,
8900000000524,52,Oreo Cream Biscuits 300g,Groceries,Snacks,75.0,
8900000000531,53,Quaker Rice Cakes 100g,Groceries,Snacks,110.0,
