product_id,stock_level,batch_id,expiry_date,last_updated,quantity_received,unit_price,cost_price,reorder_level,last_restock_date
1,155,BATCH-1-20250101,2027-07-23,2026-04-18T23:10:21.428373,172.0,,,,
2,1151,BATCH-2-20250101,2027-01-27,2026-04-18T23:10:21.430381,1180.0,,,,
3,86,BATCH-3-20250101,2026-11-16,2026-04-18T23:10:21.430381,96.0,,,,
4,43,BATCH-4-20250101,2028-03-15,2026-04-18T23:10:21.430381,72.0,,,,
5,44,BATCH-5-20250101,2027-12-18,2026-04-18T23:10:21.430381,61.0,,,,
6,325,BATCH-6-20250101,2026-10-21,2026-04-18T23:10:21.430381,340.0,,,,
7,367,BATCH-7-20250101,2027-07-26,2026-04-18T23:10:21.430381,381.0,,,,
8,1190,BATCH-8-20250101,2027-09-24,2026-04-18T23:10:21.430381,1203.0,,,,
9,22,BATCH-9-20250101,2027-10-17,2026-04-18T23:10:21.430381,43.0,,,,
10,175,BATCH-10-20250101,2028-01-28,2026-04-18T23:10:21.432390,202.0,,,,
11,87,BATCH-11-20250101,2027-01-03,2026-04-18T23:10:21.432390,114.0,,,,
12,1098,BATCH-12-20250101,2027-10-20,2026-04-18T23:10:21.432390,1126.0,,,,
13,21,BATCH-13-20250101,2026-11-30,2026-04-18T23:10:21.432390,38.0,,,,
14,196,BATCH-14-20250101,2027-06-10,2026-04-18T23:10:21.432390,209.0,,,,
15,973,BATCH-15-20250101,2027-10-23,2026-04-18T23:10:21.432390,988.0,,,,
16,791,BATCH-16-20250101,2027-07-15,2026-04-18T23:10:21.432390,821.0,,,,
17,43,BATCH-17-20250101,2028-04-13,2026-04-18T23:10:21.432390,60.0,,,,
18,88,BATCH-18-20250101,2027-07-18,2026-04-18T23:10:21.432390,118.0,,,,
19,308,BATCH-19-20250101,2027-09-12,2026-04-18T23:10:21.432390,319.0,,,,
20,674,BATCH-20-20250101,2027-09-03,2026-04-18T23:10:21.432390,696.0,,,,
21,790,BATCH-21-20250101,2026-10-11,2026-04-18T23:10:21.432390,811.0,,,,
22,988,BATCH-22-20250101,2026-09-13,2026-04-18T23:10:21.432390,1002.0,,,,
23,826,BATCH-23-20250101,2026-10-03,2026-04-18T23:10:21.432390,846.0,,,,
24,435,BATCH-24-20250101,2026-08-29,2026-04-18T23:10:21.432390,456.0,,,,
25,749,BATCH-25-20250101,2026-06-11,2026-04-18T23:10:21.432390,761.0,,,,
26,241,BATCH-26-20250101,2026-09-04,2026-04-18T23:10:21.432390,270.0,,,,
27,87,BATCH-27-20250101,2026-09-15,2026-04-18T23:10:21.432390,113.0,,,,
28,1042,BATCH-28-20250101,2026-10-26,2026-04-18T23:10:21.432390,1055.0,,,,
29,526,BATCH-29-20250101,2027-07-15,2026-04-18T23:10:21.432390,556.0,,,,
30,853,BATCH-30-20250101,2026-09-12,2026-04-18T23:10:21.432390,863.0,,,,
31,332,BATCH-31-20250101,2026-07-03,2026-04-18T23:10:21.432390,358.0,,,,
32,354,BATCH-32-20250101,2028-03-17,2026-04-18T23:10:21.432390,383.0,,,,
33,66,BATCH-33-20250101,2026-10-04,2026-04-18T23:10:21.432390,92.0,,,,
34,372,BATCH-34-20250101,2026-06-16,2026-04-18T23:10:21.432390,393.0,,,,
