product_id,product_name,category,subcategory,unit_price,unit_of_measure,is_perishable,supplier_id,cost_price,reorder_level
1,Aashirvaad Whole Wheat Atta 5kg,Groceries,Staples,265.0,Pack,False,3.0,159.0,53.0
2,Aashirvaad Multigrain Atta 5kg,Groceries,Staples,310.0,Pack,False,3.0,186.0,39.0
3,Patanjali Chakki Fresh Atta 10kg,Groceries,Staples,380.0,Pack,False,3.0,228.0,32.0
4,India Gate Basmati Rice 5kg,Groceries,Staples,580.0,Pack,False,4.0,348.0,45.0
5,Lal Qilla Sona Masoori Rice 5kg,Groceries,Staples,420.0,Pack,False,4.0,252.0,43.0
6,Tata Sampann Toor Dal 1kg,Groceries,Staples,155.0,Pack,False,4.0,93.0,47.0
7,Tata Sampann Moong Dal 1kg,Groceries,Staples,145.0,Pack,False,4.0,87.0,35.0
8,Patanjali Chana Dal 1kg,Groceries,Staples,110.0,Pack,False,3.0,66.0,35.0
9,Fortune Urad Dal 1kg,Groceries,Staples,130.0,Pack,False,4.0,78.0,48.0
10,Tata Sampann Masoor Dal 1kg,Groceries,Staples,125.0,Pack,False,4.0,75.0,48.0
11,Fortune Refined Sunflower Oil 1L,Groceries,Staples,135.0,Bottle,False,4.0,81.0,27.0
12,Dhara Mustard Oil 1L,Groceries,Staples,145.0,Bottle,False,4.0,87.0,46.0
13,DiSano Extra Virgin Olive Oil 500ml,Groceries,Staples,480.0,Bottle,False,9.0,288.0,26.0
14,Uttam Sugar 1kg,Groceries,Staples,45.0,Pack,False,7.0,27.0,48.0
15,Tata Rock Salt 1kg,Groceries,Staples,28.0,Pack,False,4.0,16.8,54.0
16,Tata Iodised Salt 1kg,Groceries,Staples,22.0,Pack,False,4.0,13.2,26.0
17,Patanjali Poha 500g,Groceries,Staples,38.0,Pack,False,3.0,22.8,45.0
18,Aashirvaad Sooji Rava 500g,Groceries,Staples,42.0,Pack,False,3.0,25.2,57.0
19,Rajdhani Besan 500g,Groceries,Staples,65.0,Pack,False,7.0,39.0,36.0
20,Bambino Vermicelli 900g,Groceries,Staples,55.0,Pack,False,7.0,33.0,46.0
21,Amul Full Cream Milk 1L,Groceries,Dairy,68.0,Pouch,True,1.0,40.8,64.0
22,Mother Dairy Toned Milk 500ml,Groceries,Dairy,28.0,Pouch,True,1.0,16.8,66.0
23,Amul Dahi 400g,Groceries,Dairy,52.0,Cup,True,1.0,31.2,67.0
24,Epigamia Greek Yogurt 400g,Groceries,Dairy,115.0,Cup,True,1.0,69.0,55.0
25,Amul Paneer 200g,Groceries,Dairy,95.0,Pack,True,1.0,57.0,54.0
26,Mother Dairy Paneer 500g,Groceries,Dairy,215.0,Pack,True,1.0,129.0,42.0
